,ROI,Behavior,Corr,p-value,nsamples,adjusted-p
1231,Angular_L,CBCL-depressed_score,0.7109318839075094,0.00019998000199980003,15,0.27997200279972007
356,Occipital_Mid_L,CBCL-depressed_score,0.6489770356367025,0.006999300069993001,15,0.41995800419958
881,Temporal_Inf_R,CBCL-depressed_score,0.644330422016392,0.0007999200079992001,15,0.37329600373296007
364,Occipital_Mid_L,CBCL-social_prob_score,0.6382473963636071,0.007799220077992201,15,0.41995800419958
3,Frontal_Sup_Orb_R,CBCL-attention_hyper_prob_score,-0.636777342826976,0.023797620237976203,15,0.4602279498077589
359,Occipital_Mid_L,CBCL-internalizing_score,0.6355158634800622,0.011398860113988602,15,0.41995800419958
391,Occipital_Mid_R,CBCL-depressed_score,0.6288417099486903,0.006199380061993801,15,0.41995800419958
461,Occipital_Sup_R,CBCL-depressed_score,0.6195484827080693,0.0091990800919908,15,0.41995800419958
321,Precuneus_R,CBCL-depressed_score,0.6149018690877587,0.007399260073992601,15,0.41995800419958
1098,Cerebelum_7b_R,CBCL-sluggish_cogn_tempo_score,0.610467809594584,0.0011998800119988001,15,0.37329600373296007
4,Frontal_Sup_Orb_R,CBCL-attention_prob_score,-0.6031122846822315,0.037196280371962806,15,0.5370891482280343
286,Thalamus_R,CBCL-depressed_score,0.590119929779436,0.004999500049995001,15,0.41995800419958
776,CSF,CBCL-depressed_score,0.582375573745585,0.0065993400659934,15,0.41995800419958
399,Occipital_Mid_R,CBCL-social_prob_score,0.5795406783018602,0.007599240075992401,15,0.41995800419958
1142,Frontal_Med_Orb_L,"VSA DAS_SA,rd_ABILITY_SCORE",-0.5725736671615601,0.0093990600939906,12,0.41995800419958
1266,Angular_R,CBCL-depressed_score,0.5637891192643429,0.0059994000599940004,15,0.41995800419958
1234,Angular_L,CBCL-internalizing_score,0.5597885059158492,0.004399560043995601,15,0.41995800419958
1148,Frontal_Med_Orb_L,Vineland-domestic_RAW_SCORE,-0.5575245495852039,0.030596940305969402,15,0.5093107710505544
469,Occipital_Sup_R,CBCL-social_prob_score,0.5569611713550345,0.028197180281971802,15,0.4873586715402533
1269,Angular_R,CBCL-internalizing_score,0.5553339554708955,0.0071992800719928,15,0.41995800419958
394,Occipital_Mid_R,CBCL-internalizing_score,0.5553339554708955,0.012998700129987,15,0.41995800419958
1274,Angular_R,CBCL-social_prob_score,0.553950570428791,0.006399360063993601,15,0.41995800419958
1126,Frontal_Med_Orb_L,CBCL-depressed_score,0.5436537935763308,0.013798620137986202,15,0.42929040429290405
846,Temporal_Mid_R,CBCL-depressed_score,0.5421049223695606,0.010998900109989001,15,0.41995800419958
