,Frontal_Sup_Orb_R,Postcentral_L,Frontal_Sup_L,Frontal_Sup_Medial_L,Frontal_Sup_Medial_R,Frontal_Sup_Orb_L,Temporal_Pole_Mid_R,Frontal_Sup_R,Thalamus_R,Precuneus_R,Occipital_Mid_L,Occipital_Mid_R,Occipital_Sup_L,Occipital_Sup_R,Precentral_L,Parietal_Inf_L,Parietal_Sup_L,Parietal_Sup_R,Frontal_Mid_L,Frontal_Inf_Tri_R,Frontal_Mid_Orb_L,Postcentral_R,CSF,Cerebelum_4_5_R,Temporal_Mid_R,Temporal_Inf_R,Frontal_Inf_Tri_L,Cerebelum_8_R,Cerebelum_Crus2_R,Cerebelum_10_R,Frontal_Inf_Orb_R,Cerebelum_7b_R,Frontal_Med_Orb_L,Frontal_Inf_Oper_L,Frontal_Inf_Oper_R,Angular_L,Angular_R,Frontal_Mid_R,Occipital_Inf_R,Frontal_Mid_Orb_R,CBCL-aggr_behav_score,CBCL-anx_prob_score,CBCL-anxious_score,CBCL-attention_hyper_prob_score,CBCL-attention_prob_score,CBCL-conduct_prob_score,CBCL-depressed_score,CBCL-depressive_prob_score,CBCL-externalizing_score,CBCL-internalizing_score,CBCL-obsessive_comp_prob_score,CBCL-oppo_def_prob_score,CBCL-rule_break_behav_score,CBCL-sluggish_cogn_tempo_score,CBCL-social_prob_score,CBCL-som_comp_score,CBCL-som_prob_score,CBCL-stress_prob_score,CBCL-thought_prob_score,CBCL-total_problems_score,"VSA DAS_SA,PC_ABILITY_SCORE","VSA DAS_SA,matrices_ABILITY_SCORE","VSA DAS_SA,rd_ABILITY_SCORE","VSA DAS_SA,seq_qr_ABILITY_SCORE","VSA DAS_SA,verbal_similarities_ABILITY_SCORE","VSA DAS_SA,word_defn_ABILITY_SCORE",Vineland-community_RAW_SCORE,Vineland-copy_skills_RAW_SCORE,Vineland-domestic_RAW_SCORE,Vineland-expressive_RAW_SCORE,Vineland-fine_motor_RAW_SCORE,Vineland-gross_motor_RAW_SCORE,Vineland-inter_pers_rel_RAW_SCORE,Vineland-personal_RAW_SCORE,Vineland-play_leisure_RAW_SCORE,Vineland-receptive_RAW_SCORE,Vineland-written_RAW_SCORE,"V24 ADOS_Derived,restricted_repetitive_behavior_total","V36 ADOS_Derived,restricted_repetitive_behavior_total","V37Plus ADOS_Derived,restricted_repetitive_behavior_total","V24 ADOS_Derived,severity_score_lookup","V36 ADOS_Derived,severity_score_lookup","V37Plus ADOS_Derived,severity_score_lookup","V24 ADOS_Derived,social_affect_restricted_repetitive_behavior_total","V36 ADOS_Derived,social_affect_restricted_repetitive_behavior_total","V37Plus ADOS_Derived,social_affect_restricted_repetitive_behavior_total","V24 ADOS_Derived,social_affect_total","V36 ADOS_Derived,social_affect_total","V37Plus ADOS_Derived,social_affect_total"
Frontal_Sup_Orb_R,1.0,0.3735294117647059,0.4794117647058824,0.5411764705882353,0.4294117647058823,0.6676470588235294,0.7411764705882353,0.38823529411764707,0.38235294117647056,0.2911764705882353,0.4147058823529412,0.6058823529411764,0.5529411764705882,0.5088235294117647,0.4058823529411764,0.5941176470588235,0.5735294117647058,0.6264705882352941,0.5205882352941177,0.5735294117647058,0.6588235294117648,0.5764705882352941,0.4382352941176471,0.5617647058823529,0.5588235294117647,0.6558823529411765,0.6382352941176471,0.4205882352941176,0.6294117647058822,0.032352941176470584,0.7588235294117647,0.6558823529411765,0.5764705882352941,0.2088235294117647,0.2764705882352941,0.4735294117647058,0.6176470588235293,0.6764705882352942,0.45,0.7264705882352941,-0.39793983974919783,-0.22596922689443352,-0.28537967202554293,-0.636777342826976,-0.6031122846822315,-0.20463943362440595,0.28034568842540136,-0.0503784502931428,-0.33678321802007094,0.07275765726757721,-0.01688674455837444,-0.49631886438184386,-0.24835387862596628,0.17825029065681652,-0.0030106009262434296,0.024445293254085634,-0.35146751167740364,-0.363394714071198,-0.47199288008451096,-0.40855634982831074,0.023529411764705882,-0.13819469687666408,-0.14052721857228892,0.1644467451377849,-0.008902429903655706,0.020897850190928626,-0.15611209861181896,-0.010309289530969178,-0.16814232447807737,-0.23025987024042477,0.1251209392609757,0.1251209392609757,0.002945511294562622,-0.2135495688557901,-0.18343516397832094,0.36189424743384807,-0.010301695209842055,,,,,,,,,,,,
Postcentral_L,0.3735294117647059,1.0,0.75,0.7617647058823529,0.7205882352941175,0.28529411764705886,0.7764705882352941,0.8529411764705882,0.6764705882352942,0.6941176470588235,0.8529411764705882,0.8147058823529412,0.8323529411764706,0.7617647058823529,0.9235294117647058,0.8558823529411764,0.8205882352941177,0.7911764705882354,0.8558823529411764,0.6823529411764706,0.4941176470588235,0.9,0.6911764705882353,0.7705882352941176,0.7441176470588236,0.7588235294117647,0.8264705882352942,0.5352941176470588,0.75,0.4264705882352941,0.6264705882352941,0.7294117647058823,0.6323529411764706,0.6558823529411765,0.7000000000000001,0.7617647058823529,0.8941176470588235,0.7470588235294118,0.7323529411764707,0.7058823529411764,0.2568790756589971,0.3223827637027251,0.36096672029176774,0.012014666845792001,-0.004434649152075232,0.3304547891120037,0.45846587720397125,0.1480821114677228,0.3249662630018228,0.5241521023562195,-0.06447666104106604,0.13264978657652884,0.4024529719902707,0.25554466448145374,0.44707423754714926,0.18181186857726192,0.10878756313824399,0.06850883953801275,0.02846941181462129,0.4011816864740091,-0.17941176470588235,-0.06984033067960442,-0.42606656694789724,-0.25115502893770786,-0.12166654201662798,-0.2642085345567405,-0.22091334709219665,-0.3726071787621717,-0.4336302052329364,0.05756496756010619,-0.2588709088158118,-0.2588709088158118,-0.20176752367753958,-0.12518423001891144,-0.23964916584264512,0.007385596886405063,-0.4459162355117346,,,,,,,,,,,,
Frontal_Sup_L,0.4794117647058824,0.75,1.0,0.911764705882353,0.9088235294117648,0.28823529411764703,0.7264705882352941,0.7999999999999999,0.7000000000000001,0.6411764705882352,0.6323529411764706,0.6294117647058822,0.7323529411764707,0.45294117647058824,0.8529411764705882,0.6382352941176471,0.6647058823529411,0.5676470588235295,0.9264705882352942,0.6294117647058822,0.33529411764705885,0.7470588235294118,0.6058823529411764,0.75,0.6705882352941177,0.8029411764705883,0.6558823529411765,0.611764705882353,0.6764705882352942,0.45,0.6176470588235293,0.6352941176470589,0.5911764705882353,0.5411764705882353,0.6264705882352941,0.7794117647058825,0.6647058823529411,0.6558823529411765,0.6823529411764706,0.6205882352941177,-0.04751520474617288,-0.05875199899255271,-0.0709592698009458,-0.237289670204392,-0.1433869892504325,0.12429950783112066,0.43213506668887836,-0.12365619617407778,-0.007385596886405063,0.3430003842614354,-0.2533011683756166,-0.01639491744204289,0.10622364688219041,0.13565951324324088,0.10838163334476347,0.09166984970282113,0.09205101496312953,-0.10574190450432402,-0.1663213006012086,0.07817143155559737,0.032352941176470584,0.06389647274942534,-0.09268816544129693,-0.046344082720648466,0.22997943917777242,0.026868664531193947,-0.08247431624775342,-0.28866010686713695,-0.43952993591637773,0.19188322520035397,-0.4012499086645083,-0.4012499086645083,-0.044182669418439326,-0.020618579061938355,-0.07100716024967263,0.11078395329607596,-0.17071380633452546,,,,,,,,,,,,
Frontal_Sup_Medial_L,0.5411764705882353,0.7617647058823529,0.911764705882353,1.0,0.8558823529411764,0.4852941176470588,0.7764705882352941,0.8147058823529412,0.6235294117647059,0.6205882352941177,0.7058823529411764,0.6294117647058822,0.7735294117647058,0.4823529411764706,0.9058823529411765,0.6029411764705882,0.6,0.5823529411764706,0.9264705882352942,0.6470588235294118,0.4764705882352941,0.7911764705882354,0.5676470588235295,0.7029411764705883,0.6735294117647058,0.7235294117647059,0.7323529411764707,0.5676470588235295,0.6176470588235293,0.4176470588235294,0.7147058823529412,0.5823529411764706,0.65,0.5529411764705882,0.6352941176470589,0.6705882352941177,0.7088235294117646,0.6794117647058824,0.6911764705882353,0.5941176470588235,-0.013363651334861122,-0.0346486147904798,-0.07558704826622487,-0.252308003761632,-0.23651462144401236,0.17432248049486435,0.312871983767575,-0.058011548822406854,0.053176297582116464,0.24054572402750019,-0.2256683136437312,-0.07899369312984302,0.14512244714890804,0.05678770321810084,0.08881272732418116,0.03361227822436775,-0.07531446678801508,-0.03127577457170147,-0.14684222935962563,0.0693218355304354,0.0411764705882353,-0.03269121861598505,-0.30198402288938686,-0.1793964492412199,0.04599588783555447,-0.13583602624103605,-0.11192942919337963,-0.3048604189872314,-0.4424798012580983,0.18155105153571952,-0.24592736337502122,-0.24592736337502122,-0.10456565095697308,0.025036846003782285,-0.15976611056176343,0.10192123703238987,-0.15894044038042027,,,,,,,,,,,,
Frontal_Sup_Medial_R,0.4294117647058823,0.7205882352941175,0.9088235294117648,0.8558823529411764,1.0,0.2823529411764706,0.6352941176470589,0.8470588235294119,0.6970588235294117,0.7529411764705882,0.6,0.6529411764705881,0.711764705882353,0.4617647058823529,0.7911764705882354,0.6147058823529412,0.5676470588235295,0.5794117647058823,0.8352941176470589,0.7352941176470589,0.3911764705882353,0.7705882352941176,0.7000000000000001,0.8411764705882352,0.7294117647058823,0.7852941176470588,0.6,0.6676470588235294,0.7000000000000001,0.39999999999999997,0.5852941176470587,0.6088235294117647,0.5823529411764706,0.4558823529411765,0.7676470588235293,0.7676470588235293,0.6558823529411765,0.6823529411764706,0.6647058823529411,0.6764705882352942,-0.06978795697094141,-0.09641353680829164,-0.030851856435193822,-0.17120900255253602,-0.0650415208971034,0.05760221094612908,0.3361050518691276,-0.10381013999799121,-0.03692798443202532,0.21827297180273164,-0.3530864771296474,-0.11923576321485738,0.07181316972317098,0.1530113114487717,0.10988693380788517,-0.11458731212852642,-0.05857791861290061,-0.11020987230028137,-0.17681003126975328,0.06342210484699409,-0.014705882352941175,0.1010455848130447,-0.12557751446885393,-0.10016301749301444,0.21365831768773694,0.020897850190928626,-0.18114894461560124,-0.40353504735507917,-0.5162264348011147,0.10774981107404491,-0.44008054498688004,-0.44008054498688004,-0.14138454213900586,-0.1870399672047265,-0.15384884720762404,-0.01033983564096709,-0.32229589299362993,,,,,,,,,,,,
Frontal_Sup_Orb_L,0.6676470588235294,0.28529411764705886,0.28823529411764703,0.4852941176470588,0.2823529411764706,1.0,0.411764705882353,0.38823529411764707,0.4647058823529412,0.4705882352941176,0.4764705882352941,0.538235294117647,0.4617647058823529,0.4323529411764706,0.4147058823529412,0.34705882352941175,0.21470588235294116,0.4676470588235294,0.3588235294117647,0.5264705882352941,0.5323529411764706,0.38823529411764707,0.45,0.3323529411764706,0.5058823529411764,0.43529411764705883,0.5147058823529412,0.055882352941176466,0.23823529411764705,-0.15882352941176472,0.5705882352941177,0.28823529411764703,0.711764705882353,0.4264705882352941,0.4264705882352941,0.36176470588235293,0.5029411764705883,0.5852941176470587,0.4382352941176471,0.44117647058823534,-0.4023943901941515,-0.037661537815738916,-0.1403759467801319,-0.41750967289127194,-0.5114628688726768,-0.20312358596792887,0.2911877868727925,0.05953816852825967,-0.35303153117016206,0.04900005489449078,-0.2348792652210263,-0.5142042288640725,-0.26181884794906085,0.05994257561910643,0.1520353467752932,-0.20320150017458685,-0.4184137043778615,-0.18616532483155637,-0.3221538705338725,-0.27433747678002096,0.15588235294117647,0.040121041028708934,-0.31543875658247833,-0.007474852051717495,-0.2967476634551902,-0.30898964210873037,-0.04565542506572064,0.001472755647281311,-0.21534016994560784,-0.188931175581887,0.3020160602851138,0.3020160602851138,0.03092786859290753,-0.07805604930590948,-0.21006284907194822,0.2776984429288304,-0.06033850051478917,,,,,,,,,,,,
Temporal_Pole_Mid_R,0.7411764705882353,0.7764705882352941,0.7264705882352941,0.7764705882352941,0.6352941176470589,0.411764705882353,1.0,0.6470588235294118,0.3970588235294118,0.38823529411764707,0.611764705882353,0.7000000000000001,0.6617647058823529,0.6029411764705882,0.7588235294117647,0.8029411764705883,0.7999999999999999,0.7323529411764707,0.8205882352941177,0.5970588235294118,0.6323529411764706,0.8088235294117646,0.4588235294117647,0.6411764705882352,0.611764705882353,0.7441176470588236,0.7647058823529411,0.5735294117647058,0.8029411764705883,0.3911764705882353,0.7705882352941176,0.7852941176470588,0.5911764705882353,0.39999999999999997,0.3852941176470588,0.5941176470588235,0.7999999999999999,0.6529411764705881,0.6088235294117647,0.7323529411764707,0.08018190800916673,0.15516553580084433,0.1758555816806048,-0.31238133799059203,-0.2660789491245139,0.11065687892282691,0.3190674685946557,0.0045798591175584364,0.1388492214644152,0.35190948515134285,-0.024562537539453734,0.0014904470401857174,0.16307573957970076,0.2807836436894986,0.1866572574270926,0.2230633009435314,-0.033473096350228916,-0.12361377568815342,-0.1947907124158299,0.07079676820129573,0.03529411764705882,-0.26450167789296997,-0.2885292891962954,0.007474852051717495,-0.014837383172759509,-0.13434332265596974,-0.3431520658165455,-0.3298972649910137,-0.4070814171574504,-0.11660595992944589,-0.06471772720395295,-0.06471772720395295,-0.15611209861181896,-0.13549351954988062,-0.16568337391590282,0.07090173010948862,-0.2310523068493146,,,,,,,,,,,,
Frontal_Sup_R,0.38823529411764707,0.8529411764705882,0.7999999999999999,0.8147058823529412,0.8470588235294119,0.38823529411764707,0.6470588235294118,1.0,0.8441176470588234,0.7911764705882354,0.8117647058823528,0.8411764705882352,0.8264705882352942,0.7235294117647059,0.8617647058823529,0.6970588235294117,0.5794117647058823,0.7029411764705883,0.8588235294117647,0.8411764705882352,0.3970588235294118,0.8852941176470588,0.8205882352941177,0.7558823529411764,0.8823529411764707,0.8176470588235294,0.7617647058823529,0.611764705882353,0.7264705882352941,0.43529411764705883,0.65,0.6823529411764706,0.611764705882353,0.6470588235294118,0.8676470588235294,0.7470588235294118,0.8147058823529412,0.8529411764705882,0.7352941176470589,0.6852941176470588,0.08760615875075622,0.2304886114323222,0.18356854578940326,0.10212466818923199,0.10495336326578049,0.27891596879178293,0.40425538496701513,0.05495830941070124,0.1388492214644152,0.3608185860412503,-0.1473752252367224,-0.08346503425040018,0.27827603267728757,0.25238979208044815,0.31009189540307325,0.024445293254085634,0.05857791861290061,0.10872054970162891,0.11537603735399156,0.3244851875892721,0.032352941176470584,0.06835436619705966,-0.2675997034514863,-0.1689316563688154,0.0756706541810735,-0.06120084698771954,-0.1870399672047265,-0.22385885838675926,-0.4129811478408918,0.08560943893554254,-0.17689512102413807,-0.17689512102413807,-0.10751116225153569,-0.06332849283309637,-0.19231105900953005,0.07533308824133166,-0.33701260043626147,,,,,,,,,,,,
Thalamus_R,0.38235294117647056,0.6764705882352942,0.7000000000000001,0.6235294117647059,0.6970588235294117,0.4647058823529412,0.3970588235294118,0.8441176470588234,1.0,0.8647058823529412,0.7411764705882353,0.7794117647058825,0.7558823529411764,0.6941176470588235,0.7029411764705883,0.5882352941176471,0.4705882352941176,0.611764705882353,0.6852941176470588,0.7205882352941175,0.3529411764705882,0.6529411764705881,0.911764705882353,0.7235294117647059,0.8411764705882352,0.7764705882352941,0.65,0.40294117647058825,0.55,0.13529411764705881,0.5029411764705883,0.5529411764705882,0.6264705882352941,0.75,0.7970588235294117,0.8147058823529412,0.6794117647058824,0.8529411764705882,0.6264705882352941,0.6147058823529412,-0.1766971676498304,0.04820676840414582,-0.04010741336575198,-0.012014666845792001,-0.04878114067282755,0.16674324221247894,0.590119929779436,-0.061064788234112474,-0.11226107267335696,0.34893978485470706,-0.18882450733455056,-0.25486644387175766,0.16157963187713473,0.20664414226586691,0.2860070879931258,-0.021389631597324932,0.05020964452534338,-0.05212629095283579,-0.07641789487082558,0.11504474832710557,0.07058823529411765,0.32988411512494004,-0.07474852051717495,-0.05979881641373996,0.14689009341031914,0.0492592183071889,0.0927836057787226,0.019145823414657044,-0.20944043926216654,0.15498260496951666,-0.11217739382018511,-0.11217739382018511,0.08983809448415997,0.0132548008255318,-0.1272211621139968,0.2673586072878633,-0.1898455260099464,,,,,,,,,,,,
Precuneus_R,0.2911764705882353,0.6941176470588235,0.6411764705882352,0.6205882352941177,0.7529411764705882,0.4705882352941176,0.38823529411764707,0.7911764705882354,0.8647058823529412,1.0,0.7470588235294118,0.7647058823529411,0.7470588235294118,0.7088235294117646,0.7058823529411764,0.6088235294117647,0.4970588235294117,0.6617647058823529,0.5852941176470587,0.7323529411764707,0.5264705882352941,0.6558823529411765,0.8823529411764707,0.7294117647058823,0.8323529411764706,0.7470588235294118,0.5294117647058824,0.3558823529411765,0.5147058823529412,0.10588235294117648,0.4676470588235294,0.4382352941176471,0.6088235294117647,0.65,0.85,0.8352941176470589,0.7000000000000001,0.7705882352941176,0.6529411764705881,0.6352941176470589,-0.0653334065259877,0.11298461344721676,0.13574816831485284,-0.039047667248824004,-0.06799795366515356,0.09246670704510195,0.6149018690877587,0.08701732323361029,-0.022156790659215192,0.34597008455807127,-0.357691952918295,-0.14159246881764315,0.1496107702566062,0.2192636318698893,0.4079364255059847,-0.2307024550854332,-0.06694619270045783,-0.046169000558225974,-0.16332452041019585,0.16224259379463604,0.1323529411764706,0.39823848132199974,-0.04335414189996147,0.004484911231030497,0.18249981302494195,0.03134677528639293,0.108983917898817,-0.18851272285200782,-0.22123990062904916,0.2597803664250946,-0.23729833308116083,-0.23729833308116083,0.08983809448415997,-0.06332849283309637,-0.04437947515604539,0.2171365484603089,-0.19573220898699903,,,,,,,,,,,,
